                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.97587,                0.49884,                0.85587,                0.96442,                 0.9624,                0.98868,                0.76433,                0.95135,                0.47692,                0.82446,              0.0052356,              0.0052356,              0.0052356
                     80,                0.96593,                0.49709,                0.85495,                 0.9605,                0.96963,                0.98712,                0.75803,                0.95605,                 0.4831,                0.82661,              0.0051737,              0.0051737,              0.0051737
                     81,                0.97068,                0.49802,                0.85561,                0.96125,                0.94587,                0.98572,                0.74865,                0.98727,                  0.489,                0.82828,              0.0051119,              0.0051119,              0.0051119
                     82,                0.96739,                0.49529,                0.85478,                0.96287,                0.95961,                0.98685,                0.75519,                0.96772,                0.48292,                0.82569,                0.00505,                0.00505,                0.00505
                     83,                0.96591,                0.49469,                0.85768,                0.96289,                0.96009,                0.98735,                0.75743,                0.95875,                0.48316,                0.82529,              0.0049881,              0.0049881,              0.0049881
                     84,                0.96577,                0.49752,                0.85581,                0.96671,                0.94779,                0.98448,                0.74117,                 1.0318,                0.49874,                0.83203,              0.0049263,              0.0049263,              0.0049263
                     85,                 0.9714,                0.49685,                0.85676,                0.95489,                0.96068,                0.98734,                0.76166,                0.96503,                0.48358,                0.82494,              0.0048644,              0.0048644,              0.0048644
                     86,                0.95597,                0.48959,                0.85315,                0.96138,                0.95734,                0.98665,                0.75737,                0.97668,                0.48124,                0.82607,              0.0048025,              0.0048025,              0.0048025
                     87,                0.96308,                0.49264,                0.85711,                0.95908,                0.96643,                0.98773,                0.76117,                0.96044,                0.47724,                0.82537,              0.0047406,              0.0047406,              0.0047406
                     88,                0.95648,                0.49062,                0.85404,                0.96091,                0.96344,                0.98708,                0.75733,                0.98727,                0.48342,                0.82768,              0.0046788,              0.0046788,              0.0046788
                     89,                0.95625,                0.48933,                0.85412,                0.96888,                0.96019,                0.98847,                0.76019,                0.97483,                0.47576,                0.82631,              0.0046169,              0.0046169,              0.0046169
                     90,                0.96445,                0.49377,                 0.8534,                0.97003,                0.96265,                0.98805,                0.75842,                0.97386,                0.48017,                0.82686,               0.004555,               0.004555,               0.004555
                     91,                0.95204,                0.48764,                0.85289,                 0.9723,                0.96352,                0.98954,                0.75942,                0.96523,                0.47621,                0.82597,              0.0044931,              0.0044931,              0.0044931
                     92,                0.95037,                0.48358,                0.85293,                0.95947,                0.97038,                0.98799,                0.75452,                0.98277,                0.47634,                0.82765,              0.0044313,              0.0044313,              0.0044313
                     93,                0.95352,                0.49148,                0.85385,                0.96254,                0.96314,                0.98748,                0.76078,                0.96808,                0.47539,                0.82578,              0.0043694,              0.0043694,              0.0043694
                     94,                0.94973,                0.48525,                0.85181,                0.96914,                0.95036,                0.98821,                0.76321,                0.95675,                0.47236,                0.82417,              0.0043075,              0.0043075,              0.0043075
                     95,                0.94944,                0.48257,                0.85181,                0.95547,                0.96736,                0.98754,                 0.7598,                0.96672,                0.47558,                 0.8257,              0.0042456,              0.0042456,              0.0042456
                     96,                0.94037,                 0.4799,                0.85079,                0.96306,                0.97053,                0.98861,                0.76894,                0.95265,                0.47046,                0.82446,              0.0041837,              0.0041837,              0.0041837
                     97,                0.94363,                 0.4789,                0.85145,                0.95391,                 0.9596,                 0.9867,                0.76072,                0.97964,                0.47595,                0.82508,              0.0041219,              0.0041219,              0.0041219
                     98,                0.94153,                 0.4798,                 0.8527,                0.96098,                0.96456,                0.98776,                0.76399,                0.95277,                0.46765,                0.82361,                0.00406,                0.00406,                0.00406
                     99,                0.94946,                0.48202,                0.85067,                0.95891,                 0.9713,                0.98832,                0.75948,                0.98079,                0.47643,                0.82676,              0.0039981,              0.0039981,              0.0039981
                    100,                0.93767,                0.47483,                0.85335,                0.97431,                0.96056,                0.98734,                0.76199,                 0.9637,                 0.4728,                0.82446,              0.0039362,              0.0039362,              0.0039362
